'original_name'"'hrvatski_naziv'"'liturgical_color'
'Die 3 ianuarii'"'Subota 1. tjedna božićnog vremena'"'white'
'Feria quarta post Epiphaniam'"'Srijeda 1. tjedna božićnog vremena'"'white'
'Feria tertia, hebdomada prima per annum'"'Utorak 1. tjedna vremena kroz godinu'"'green'
'Feria tertia, hebdomada secunda per annum'"'Utorak 1. tjedna vremena kroz godinu'"'green'
'S. Fabiani, papæ et martyris'"'Sv. Fabijan, papa i mučenik'"'red'
'Feria quinta, hebdomada secunda per annum'"'Četvrtak 1. tjedna vremena kroz godinu'"'green'
'Feria tertia, hebdomada tertia per annum'"'Utorak 1. tjedna vremena kroz godinu'"'green'
'Feria tertia, hebdomada quarta per annum'"'Utorak 1. tjedna vremena kroz godinu'"'green'
'S. Ansgarii, episcopi'"'Sv. Ansgar, biskupa'"'white'
'Feria quarta, hebdomada quinta per annum'"'Srijeda 1. tjedna vremena kroz godinu'"'green'
'Feria tertia, hebdomada sexta per annum'"'Utorak 1. tjedna vremena kroz godinu'"'green'
'Sabbato post Cineres'"'Subota nakon Čiste srijede (Pepelnice)'"'purple'
'Feria secunda, hebdomada prima Quadragesimæ'"'Ponedjeljak 1. tjedna korizme'"'purple'
'Feria sexta, hebdomada prima Quadragesimæ'"'Petak 2. tjedna korizme'"'purple'
'Feria quarta, hebdomada secunda Quadragesimæ'"'Srijeda 3. tjedna korizme'"'purple'
'Sabbato, hebdomada secunda Quadragesimæ'"'Subota 3. tjedna korizme'"'purple'
'Feria secunda, hebdomada tertia Quadragesimæ'"'Ponedjeljak 3. tjedna korizme'"'purple'
'Feria tertia, hebdomada quarta Quadragesimæ'"'Utorak 4. tjedna korizme'"'purple'
'Feria quarta, hebdomada quarta Quadragesimæ'"'Srijeda 5. tjedna korizme'"'purple'
'Feria secunda, hebdomada quinta Quadragesimæ'"'Ponedjeljak 5. tjedna korizme'"'purple'
'$(names:holy_thursday), in Cena Domini'"'Četvrtak 1. tjedna Vazmenog trodnevlja'"'white'
'Feria secunda, hebdomada secunda temporis paschalis'"'Ponedjeljak 2. tjedna vazmenog vremena'"'white'
'Feria tertia, hebdomada tertia temporis paschalis'"'Utorak 3. tjedna vazmenog vremena'"'white'
'Feria quinta, hebdomada tertia temporis paschalis'"'Četvrtak 3. tjedna vazmenog vremena'"'white'
'S. Adalberti, episcopi et martyris'"'Sv. Adalbert, biskup i mučenik'"'red'
'Feria sexta, hebdomada tertia temporis paschalis'"'Petak 3. tjedna vazmenog vremena'"'white'
'Feria tertia, hebdomada quarta temporis paschalis'"'Utorak 4. tjedna vazmenog vremena'"'white'
'S. Ludovici Mariæ Grignion de Montfort, presbyteri'"'Sv. Ljudevit Marija Grignion Montfortski, prezbiter'"'white'
'Feria quinta, hebdomada quarta temporis paschalis'"'Četvrtak 4. tjedna vazmenog vremena'"'white'
'Feria sexta, hebdomada quarta temporis paschalis'"'Petak 4. tjedna vazmenog vremena'"'white'
'Feria quarta, hebdomada sexta temporis paschalis'"'Srijeda 6. tjedna vazmenog vremena'"'white'
'Feria secunda, hebdomada septima temporis paschalis'"'Ponedjeljak 7. tjedna vazmenog vremena'"'white'
'Feria quarta, hebdomada septima temporis paschalis'"'Srijeda 7. tjedna vazmenog vremena'"'white'
'Feria quinta, hebdomada septima temporis paschalis'"'Četvrtak 7. tjedna vazmenog vremena'"'white'
'Feria sexta, hebdomada septima temporis paschalis'"'Petak 7. tjedna vazmenog vremena'"'white'
'Feria quarta, hebdomada octava per annum'"'Srijeda 8. tjedna vremena kroz godinu'"'green'
'Feria sexta, hebdomada octava per annum'"'Petak 8. tjedna vremena kroz godinu'"'green'
'Feria tertia, hebdomada nona per annum'"'Utorak 9. tjedna vremena kroz godinu'"'green'
'Sabbato, hebdomada nona per annum'"'Subota 9. tjedna vremena kroz godinu'"'green'
'Feria tertia, hebdomada decima per annum'"'Utorak 10. tjedna vremena kroz godinu'"'green'
'Feria sexta, hebdomada undecima per annum'"'Petak 11. tjedna vremena kroz godinu'"'green'
'Feria secunda, hebdomada duodecima per annum'"'Ponedjeljak 12. tjedna vremena kroz godinu'"'green'
'Ss. Ioannis Fisher, episcopi, et Thomæ More, martyrum'"'Sv. John Fisher i Thomas More - engleski mučenici'"'red'
'Sabbato, hebdomada duodecima per annum'"'Subota 12. tjedna vremena kroz godinu'"'green'
'Feria tertia, hebdomada decima tertia per annum'"'Utorak 13. tjedna vremena kroz godinu'"'green'
'Sabbato, hebdomada decima tertia per annum'"'Subota 13. tjedna vremena kroz godinu'"'green'
'Feria secunda, hebdomada decima quarta per annum'"'Ponedjeljak 14. tjedna vremena kroz godinu'"'green'
'Feria quinta, hebdomada decima quarta per annum'"'Četvrtak 14. tjedna vremena kroz godinu'"'green'
'Ss. Augustini Zhao Rong, presbyteri, et sociorum, martyrum'"'Sv. Augustin Zhao Rong, prezbiter i mučenik'"'red'
'Feria tertia, hebdomada decima quinta per annum'"'Utorak 15. tjedna vremena kroz godinu'"'green'
'Feria quinta, hebdomada decima quinta per annum'"'Četvrtak 15. tjedna vremena kroz godinu'"'green'
'Feria secunda, hebdomada decima sexta per annum'"'Ponedjeljak 16. tjedna vremena kroz godinu'"'green'
'Feria tertia, hebdomada decima sexta per annum'"'Utorak 16. tjedna vremena kroz godinu'"'green'
'Feria sexta, hebdomada decima sexta per annum'"'Petak 16. tjedna vremena kroz godinu'"'green'
'Feria quinta, hebdomada decima septima per annum'"'Četvrtak 17. tjedna vremena kroz godinu'"'green'
'Feria secunda, hebdomada decima octava per annum'"'Ponedjeljak 18. tjedna vremena kroz godinu'"'green'
'Feria quarta, hebdomada decima octava per annum'"'Srijeda 18. tjedna vremena kroz godinu'"'green'
'Feria sexta, hebdomada decima octava per annum'"'Petak 18. tjedna vremena kroz godinu'"'green'
'S. Caietani, presbyteri'"'Sv. Kajetan, prezbiter'"'white'
'Feria quarta, hebdomada decima nona per annum'"'Srijeda 19. tjedna vremena kroz godinu'"'green'
'Feria quinta, hebdomada decima nona per annum'"'Četvrtak 19. tjedna vremena kroz godinu'"'green'
'Feria quarta, hebdomada vigesima per annum'"'Srijeda 20. tjedna vremena kroz godinu'"'green'
'Feria tertia, hebdomada vigesima prima per annum'"'Utorak 21. tjedna vremena kroz godinu'"'green'
'S. Iosephi de Calasanz, presbyteri'"'Sv. Josip Kalasancijski, prezbiter'"'white'
'Feria quarta, hebdomada vigesima tertia per annum'"'Srijeda 23. tjedna vremena kroz godinu'"'green'
'Sabbato, hebdomada vigesima tertia per annum'"'Subota 23. tjedna vremena kroz godinu'"'green'
'Feria quinta, hebdomada vigesima quarta per annum'"'Četvrtak 24. tjedna vremena kroz godinu'"'green'
'S. Hildegardis Bingensis, abatissæ et Ecclesiæ doctoris'"'Sveta Hildegarda iz Bingena. crkvena naučiteljica'"'white'
'Sabbato, hebdomada vigesima quarta per annum'"'Subota 24. tjedna vremena kroz godinu'"'green'
'Sabbato, hebdomada vigesima quinta per annum'"'Subota 25. tjedna vremena kroz godinu'"'green'
'Feria secunda, hebdomada vigesima sexta per annum'"'Ponedjeljak 26. tjedna vremena kroz godinu'"'green'
'Ss. Laurentii Ruiz et sociorum, martyrum'"'Sveti Lovro Ruiz i drugovi, mučenik'"'red'
'Feria secunda, hebdomada vigesima septima per annum'"'Ponedjeljak 27. tjedna vremena kroz godinu'"'green'
'Feria tertia, hebdomada vigesima septima per annum'"'Utorak 27. tjedna vremena kroz godinu'"'green'
'Feria sexta, hebdomada vigesima septima per annum'"'Petak 27. tjedna vremena kroz godinu'"'green'
'Ss. Dionysii, episcopi, et sociorum, martyrum'"'Sv. Dionizije, biskup mučenik'"'red'
'Feria quarta, hebdomada vigesima octava per annum'"'Srijeda 28. tjedna vremena kroz godinu'"'green'
'Feria sexta, hebdomada vigesima octava per annum'"'Petak 28. tjedna vremena kroz godinu'"'green'
'S. Hedvigis, religiosæ'"'Sveta Hedviga Šleska, redovnica'"'white'
'Feria secunda, hebdomada vigesima nona per annum'"'Ponedjeljak 29. tjedna vremena kroz godinu'"'green'
'Ss. Ioannis de Brébeuf et Isaac Jogues, presbyterorum, et sociorum, martyrum'"'Sveti Ivan de Brébeuf, Izak Jogues i drugovi, mučenici'"'red'
'Feria quinta, hebdomada vigesima nona per annum'"'Četvrtak 29. tjedna vremena kroz godinu'"'green'
'Feria sexta, hebdomada vigesima nona per annum'"'Petak 29. tjedna vremena kroz godinu'"'green'
'Sabbato, hebdomada vigesima nona per annum'"'Subota 29. tjedna vremena kroz godinu'"'green'
'Feria tertia, hebdomada trigesima prima per annum'"'Utorak 31. tjedna vremena kroz godinu'"'green'
'Feria secunda, hebdomada trigesima tertia per annum'"'Ponedjeljak 33. tjedna vremena kroz godinu'"'green'
'S. Gertrudis, virginis'"'Sv. Gertruda, djevica'"'white'
'Feria quarta, hebdomada trigesima tertia per annum'"'Srijeda 33. tjedna vremena kroz godinu'"'green'
'Feria IV Cinerum'"'Pepelnica'"'purple'
'Feria secunda, hebdomada trigesima quarta per annum'"'Ponedjeljak 34. tjedna vremena kroz godinu'"'green'
'S. Clementis I, papæ et martyris'"'Sv. Klement I, papa i mučenik'"'red'
'Feria quarta, hebdomada trigesima quarta per annum'"'Srijeda 34. tjedna vremena kroz godinu'"'green'
'In octava Nativitatis. Sollemnitas Sanctæ Dei Genetricis Mariæ'"'Sveta Marija Bogorodica'"'white'
'Ss. Basilii Magni et Gregorii Nazianzeni, episcoporum et Ecclesiæ doctorum'"'Sv. Bazilije Veliki i Grgur Nazijanski, biskupi i crkveni naučitelji '"'white'
'Ss.mi Nominis Iesu'"'Presveto ime Isusovo'"'white'
'Dominica secunda post Nativitatem'"'Druga nedjelja nakon Božića'"'white'
'Die 5 ianuarii'"'Ponedjeljak 1. tjedna božićnog vremena'"'white'
'In Epiphania Domini'"'Bogojavljenje'"'white'
'S. Raimundi de Penyafort, presbyteri'"'Sveti Rajmund Penjafortski, prezbiter'"'white'
'Feria quinta post Epiphaniam'"'Četvrtak 1. tjedna božićnog vremena'"'white'
'Feria sexta post Epiphaniam'"'Petak 1. tjedna božićnog vremena'"'white'
'Sabbato post Epiphaniam'"'Subota 1. tjedna božićnog vremena'"'white'
'In Baptismate Domini'"'Krštenje Gospodinovo'"'white'
'Feria secunda, hebdomada prima per annum'"'Ponedjeljak 1. tjedna vremena kroz godinu'"'green'
'S. Hilarii, episcopi et Ecclesiæ doctoris'"'Sv. Hilarije, biskup i crkveni naučitelj'"'white'
'Feria quarta, hebdomada prima per annum'"'Srijeda 1. tjedna vremena kroz godinu'"'green'
'Feria quinta, hebdomada prima per annum'"'Četvrtak 1. tjedna vremena kroz godinu'"'green'
'Feria sexta, hebdomada prima per annum'"'Petak 1. tjedna vremena kroz godinu'"'green'
'S. Antonii, abbatis'"'Sv. Antun, opat'"'white'
'Dominica secunda per annum'"'2. nedjelja kroz godinu'"'green'
'Feria secunda, hebdomada secunda per annum'"'Ponedjeljak 1. tjedna vremena kroz godinu'"'green'
'S. Sebastiani, martyris'"'Sv. Sebastijan, mučenik'"'red'
'S. Agnetis, virginis et martyris'"'Sv. Agneza, djevica i mučenica'"'red'
'S. Vincentii, diaconi et martyris'"'Sv. Vinko, đakon i mučenik'"'red'
'Feria sexta, hebdomada secunda per annum'"'Petak 1. tjedna vremena kroz godinu'"'green'
'S. Francisci de Sales, episcopi et Ecclesiæ doctoris'"'Sv. Franjo Saleški, biskup i crkveni naučitelj'"'white'
'Dominica tertia per annum, seu Dominica Verbi Dei'"'Nedjelja Božje riječi -  treća nedjelja kroz godinu'"'green'
'Ss. Timothei et Titi, episcoporum'"'Sv. Timotej i Tit, biskupi'"'white'
'S. Angelæ Merici, virginis'"'Sv. Angela Merici, djevica'"'white'
'S. Thomæ de Aquino, presbyteri et Ecclesiæ doctoris'"'Sv. Toma Akvinski, prezbiter i crkveni naučitelj'"'white'
'Feria quinta, hebdomada tertia per annum'"'Četvrtak 1. tjedna vremena kroz godinu'"'green'
'Feria sexta, hebdomada tertia per annum'"'Petak 1. tjedna vremena kroz godinu'"'green'
'S. Ioannis Bosco, presbyteri'"'Sv. Ivan Bosco, prezbiter'"'white'
'Dominica quarta per annum'"'4. nedjelja kroz godinu'"'green'
'In Præsentatione Domini'"'Prikazanje Gospodinovo (Svijećnica)'"'white'
'S. Blasii, episcopi et martyris'"'Sv. Blaž, biskup i mučenik'"'red'
'Feria quarta, hebdomada quarta per annum'"'Srijeda 1. tjedna vremena kroz godinu'"'green'
'S. Agathæ, virginis et martyris'"'Sv. Agata, djevica i mučenica'"'red'
'Ss. Pauli Miki et sociorum, martyrum'"'Sv. Pavao Miki i drugovi, mučenici'"'red'
'Sabbato, hebdomada quarta per annum'"'Subota 1. tjedna vremena kroz godinu'"'green'
'Dominica quinta per annum'"'5. nedjelja kroz godinu'"'green'
'Feria secunda, hebdomada quinta per annum'"'Ponedjeljak 1. tjedna vremena kroz godinu'"'green'
'S. Scholasticæ, virginis'"'Sv. Skolastika, djevica'"'white'
'B. Mariæ Virginis de Lourdes'"'Majka Božja Lurdska'"'white'
'Feria quinta, hebdomada quinta per annum'"'Četvrtak 1. tjedna vremena kroz godinu'"'green'
'Feria sexta, hebdomada quinta per annum'"'Petak 1. tjedna vremena kroz godinu'"'green'
'Sabbato, hebdomada prima Quadragesimæ'"'Subota 2. tjedna korizme'"'purple'
'Ss. Cyrilli, monachi, et Methodii, episcopi, patronorum secundariorum Europæ'"'Sv. Ćiril i Metod, biskupi, suzaštitnici Europe '"'white'
'Dominica sexta per annum'"'6. nedjelja kroz godinu'"'green'
'Feria secunda, hebdomada sexta per annum'"'Ponedjeljak 1. tjedna vremena kroz godinu'"'green'
'Ss. septem Fundatorum Ordinis Servorum B. M. V.'"'Sedam svetih utemeljitelja reda slugu Blažene Djevice Marije'"'white'
'Feria quinta post Cineres'"'Četvrtak nakon pepelnice'"'purple'
'Feria sexta post Cineres'"'Petak nakon pepelnice'"'purple'
'S. Petri Damiani, episcopi et Ecclesiæ doctoris'"'Sv. Petar Damiani, biskup i crkveni naučitelj'"'white'
'Dominica prima Quadragesimæ'"'Prva korizmena nedjelja'"'purple'
'S. Polycarpi, episcopi et martyris'"'Sv. Polikarp, biskup i mučenik'"'red'
'Feria tertia, hebdomada prima Quadragesimæ'"'Utorak 1. tjedna korizme'"'purple'
'Feria quarta, hebdomada prima Quadragesimæ'"'Srijeda 2. tjedna korizme'"'purple'
'Feria quinta, hebdomada prima Quadragesimæ'"'Četvrtak 2. tjedna korizme'"'purple'
'S. Gregorii Narecensis, abbatis et Ecclesiæ doctoris'"'Sv. Grgur Nazijanski, opat i crkveni naučitelj'"'white'
'Dominica secunda Quadragesimæ'"'Druga korizmena nedjelja'"'purple'
'Feria secunda, hebdomada secunda Quadragesimæ'"'Ponedjeljak 2. tjedna korizme'"'purple'
'Feria tertia, hebdomada secunda Quadragesimæ'"'Utorak 2. tjedna korizme'"'purple'
'S. Casimiri'"'Sv. Kazimir'"'purple'
'Feria quinta, hebdomada secunda Quadragesimæ'"'Četvrtak 3. tjedna korizme'"'purple'
'Feria sexta, hebdomada secunda Quadragesimæ'"'Petak 3. tjedna korizme'"'purple'
'Ss. Perpetuæ et Felicitatis, martyrum'"'Sv. Perpetua i Felicita, mučenici'"'red'
'Dominica tertia Quadragesimæ'"'Treća korizmena nedjelja'"'purple'
'S. Franciscæ Romanæ, religiosæ'"'Sv. Franciska Rimska, redovnica'"'white'
'Feria tertia, hebdomada tertia Quadragesimæ'"'Utorak 3. tjedna korizme'"'purple'
'Feria quarta, hebdomada tertia Quadragesimæ'"'Srijeda 4. tjedna korizme'"'purple'
'Feria quinta, hebdomada tertia Quadragesimæ'"'Četvrtak 4. tjedna korizme'"'purple'
'Feria sexta, hebdomada tertia Quadragesimæ'"'Petak 4. tjedna korizme'"'purple'
'Sabbato, hebdomada tertia Quadragesimæ'"'Subota 4. tjedna korizme'"'purple'
'Dominica quarta Quadragesimæ'"'Četvrta korizmena nedjelja'"'rose'
'Feria secunda, hebdomada quarta Quadragesimæ'"'Ponedjeljak 4. tjedna korizme'"'purple'
'S. Patricii, episcopi'"'Sv. Patrik, biskup'"'white'
'S. Cyrilli Hierosolymitani, episcopi et Ecclesiæ doctoris'"'Sv. Ćiril Jeruzalemski, biskup i crkvenog naučitelj'"'white'
'S. Iosephi, Sponsi B. M. V.'"'Sveti Josip, zaručnik Blažene Djevice Marije'"'white'
'Feria sexta, hebdomada quarta Quadragesimæ'"'Petak 5. tjedna korizme'"'purple'
'Sabbato, hebdomada quarta Quadragesimæ'"'Subota 5. tjedna korizme'"'purple'
'Dominica quinta Quadragesimæ'"'Peta korizmena nedjelja'"'purple'
'S. Turibii de Mogrovejo, episcopi'"'Sv. Turbija iz Mogroveja, biskup'"'white'
'Feria tertia, hebdomada quinta Quadragesimæ'"'Utorak 5. tjedna korizme'"'purple'
'In Annuntiatione Domini'"'Navještenje Gospodinovo'"'white'
'Feria quinta, hebdomada quinta Quadragesimæ'"'Četvrtak 6. tjedna korizme'"'purple'
'Feria sexta, hebdomada quinta Quadragesimæ'"'Petak 6. tjedna korizme'"'purple'
'Sabbato, hebdomada quinta Quadragesimæ'"'Subota 6. tjedna korizme'"'purple'
'Dominica in Palmis de Passione Domini'"'Cvjetnica - Nedjelja muke Gospodnje'"'red'
'Feria secunda Hebdomadæ Sanctæ'"'Ponedjeljak 6. tjedna korizme'"'purple'
'Feria tertia Hebdomadæ Sanctæ'"'Utorak 6. tjedna korizme'"'purple'
